FID,site_id,site_on,site_at,corn_desc,city,county,publiccomm,dt_zone,parkride,adaaccess,ada_comm,busstop_yn,node_id,gate,T_Code,board_flag,alight_fla,Lat,Long
650,52289,157th St W,Foliage Ave,Near side E,APPLE VALLEY,Dakota,10/05 MVTA BSI,N,N,Y, ,Y, , , ,0,0,44.722701,-93.20260729
651,52284,157th St W,France Way,Across from W,APPLE VALLEY,Dakota, ,N,N,Y, ,Y, , , ,0,0,44.72281815,-93.20430933
652,52191,157th St W,Galaxie Ave,Near side W,APPLE VALLEY,Dakota,8/14 new 157G,N,N,Y, ,Y,157G, , ,0,0,44.72311211,-93.20729001
653,52193,157th St W,Galaxie Ave,Far side E,APPLE VALLEY,Dakota,8/14 new 157G,N,N,Y, ,Y,157G, , ,0,0,44.72299003,-93.20714108
654,52286,157th St W,Garrett Dr,Near side W,APPLE VALLEY,Dakota,10/14 MVTA id 01205,N,N,Y, ,Y, , , ,0,0,44.72242191,-93.21329437
655,52192,157th St W,Garrett Dr,Far side E,APPLE VALLEY,Dakota,12/14 MV 01480 (9/09 restore Rt 479),N,N,Y, ,Y, , , ,0,0,44.72232913,-93.21317925
656,52285,157th St W,Gateway Path,Near side W,APPLE VALLEY,Dakota,10/14 MVTA id 01204,N,N,Y, ,Y, , , ,0,0,44.72311295,-93.21100532
657,53333,157th St W,Gladstone / Cedar,Mid block W,APPLE VALLEY,Dakota,9/09 Rt 479 per CSF = AVTS not served directly,N,N,Y,12/10 to new AVTS (was APVY),N, , , ,0,0,44.72087496,-93.21705916
658,53499,157th St W,Gladstone Path,Across from W,APPLE VALLEY,Dakota,"10/14 MVTA id 01477, 3/10 Node - not APVY (Rt 479 Only?)",N,N,Y, ,Y,15CE, , ,0,0,44.7210899,-93.21641802
659,47255,157th St W,Granada Ave,Far side E,APPLE VALLEY,Dakota,3/10 relocate + 15CE,N,N,Y,12/12 abandoned 15CE,N, , , ,0,0,44.72074509,-93.220243
660,53332,157th St W,Granada Ave,Far side E,APPLE VALLEY,Dakota,3/10 new 15CE #47255,N,N,Y,12/09 last used (APVY),N, , , ,0,0,44.72074806,-93.22070528
661,16111,15th Ave SE,4th St SE,Far side N,MINNEAPOLIS,Hennepin,5/15 - 9/15 temp JOED D-17213,N,N,Y, ,Y,JOED, , ,1,1,44.98029087,-93.23400011
662,49242,15th Ave SE,4th St SE,Near side S,MINNEAPOLIS,Hennepin,5/15 - 9/15 temp JOED D-17213,N,N,Y, ,Y,JOED, , ,1,1,44.98021595,-93.23427707
663,16107,15th Ave SE,6th St SE,Across from N,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98178891,-93.23284297
664,16108,15th Ave SE,6th St SE,Near side S,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98203401,-93.23281111
665,16103,15th Ave SE,8th St SE,Near side N,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98369512,-93.23131817
666,16104,15th Ave SE,8th St SE,Near side S,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98398497,-93.23127836
667,16097,15th Ave SE,Como Ave SE,Near side N,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98765709,-93.23027692
668,16098,15th Ave SE,Como Ave SE,Far side S,MINNEAPOLIS,Hennepin,10/14 US Bench list,N,N,Y,Van Cleve Park,Y, , , ,1,1,44.987528,-93.23045628
669,16101,15th Ave SE,Rollins Ave,Near side N,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98524508,-93.23024291
670,16102,15th Ave SE,Rollins Ave,Near side S,MINNEAPOLIS,Hennepin, ,N,N,Y, ,Y, , , ,1,1,44.98548195,-93.23045303
671,16110,15th Ave SE,University Ave,Far side N,MINNEAPOLIS,Hennepin,7/12 recycled - temp (deleted pre-2002),N,N,Y,8/12 BTR was JOED %,N, , , ,0,0,44.97906489,-93.23497009
672,52900,15th Ave SE,University Ave,Near side S,MINNEAPOLIS,Hennepin,2/08 was 49903 on Rt.3 - deleted,N,N,Y,3/11 deleted - UM 123,N, , , ,0,0,44.97913313,-93.23514134
673,56722,15th St,1st Ave S,Far side W,MINNEAPOLIS,Hennepin,State Fair Only 8/18,Y,N,N, ,N,151A, , ,0,0,44.96772506,-93.27662604
674,51780,15th St,Hastings Ave,Near side W,NEWPORT,Washington,12/14 rt 364 to P&R,N,N,N, ,Y,HAST, , ,0,0,44.87127107,-92.99944918
675,53461,15th St E,1st Ave S,Near side E,MINNEAPOLIS,Hennepin,3/10 new Rt 11 stop,Y,N,Y, ,Y,GRNI, , ,1,1,44.96755596,-93.27664729
676,53505,15th St E,5th Ave / 4th Ave - Layover,Mid block W,MINNEAPOLIS,Hennepin,5/10 new Node - was 155A,Y,N,Y,Layover Only - No Stop on bridge,N,154A, , ,0,0,44.96812501,-93.26955204
677,53337,15th St E,5th Ave S,Far side W,MINNEAPOLIS,Hennepin,5/10 new node 154A,N,N,Y,12/09-5/10 was 155A Node Only,N, , , ,0,0,44.96812497,-93.26956903
678,56209,15th St E -Node,1st Ave S,Far side N,MINNEAPOLIS,Hennepin, ,Y,N,N,3/16 New TP Rt 288 1A16,N,1A16, , ,0,0,44.96753802,-93.27624903
679,49857,15th St N,Gershwin Ave N,Across from E,OAKDALE,Ramsey,Need site check,N,N,N, ,Y, , , ,1,1,44.97041909,-92.98153111
680,49821,15th St N,Gershwin Ave N,Near side W,OAKDALE,Ramsey,NEED SITE CHECK,N,N,Y, ,Y, , , ,1,1,44.9705181,-92.98149519
681,49820,15th St N,Goodwin Ave N,Across from W,OAKDALE,Ramsey,NEED SITE CHECK,N,N,Y, ,Y, , , ,1,1,44.9705069,-92.97727001
682,49856,15th St N,Goodwin Ave N,Near side E,OAKDALE,Ramsey,Need site check,N,N,N, ,Y, , , ,1,1,44.97041688,-92.97730403
683,49819,15th St N,Granada Ave (W),Across from W,OAKDALE,Ramsey,NEED SITE CHECK,N,N,Y, ,Y, , , ,1,1,44.97050498,-92.97455923
684,49858,15th St N,Granada Ave (W),Near side E,OAKDALE,Ramsey,Need site check,N,N,N, ,Y, , , ,1,1,44.97041088,-92.97486705
685,49859,15th St N,Granite Ave,Near side E,OAKDALE,Ramsey,Need site check,N,N,N, ,Y, , , ,1,1,44.9704119,-92.97190506
686,43030,15th St N,Granite Ave N,Across from W,OAKDALE,Ramsey,"3/13 moved - was NS Granada, no T A-12074 M. Johnson",N,N,Y,crosswalk AX Fire Station,Y, , , ,1,1,44.970496,-92.97162007
687,43028,15th St N,Grospoint Ave N,Across from W,OAKDALE,Ramsey,NEED SITE CHECK,N,N,Y, ,Y, , , ,1,1,44.9704909,-92.96767908
688,15186,15th St N,Grospoint Ave N,Near side E,OAKDALE,Ramsey, ,N,N,N, ,Y, , , ,1,1,44.97040098,-92.96801696
689,15187,15th St N,Hadley Ave N,Near side E,OAKDALE,Ramsey, ,N,N,N,AX Oakdale City Hall,Y, , , ,1,1,44.97038114,-92.96484625
690,48378,15th St N,Hadley Ave N,Far side W,OAKDALE,Ramsey, ,N,N,Y,Oakdale City Hall,Y, , , ,1,1,44.97048303,-92.96537919
691,49822,15th St N,Hwy 120 - Geneva,Near side W,OAKDALE,Ramsey,NEED SITE CHECK,N,N,Y, ,Y, , , ,1,1,44.97055612,-92.98411008
692,49855,15th St N,Hwy 120 - Geneva,Far side E,OAKDALE,Ramsey,Need site check,N,N,N,100 ft farside,Y, , , ,1,1,44.97042603,-92.98399408
693,14905,15th St W,#329,Near side E,MINNEAPOLIS,Hennepin, ,N,N,Y,Dunn Bros Coffee,Y, , , ,1,1,44.96789912,-93.28372394
694,49227,15th St W,Oak Grove St,Across from W,MINNEAPOLIS,Hennepin,5/13 was OAGR to 9/11,N,N,Y, ,Y, , , ,1,1,44.96848608,-93.28591303
695,52189,160th St W,Flagstaff Ave,Near side W,APPLE VALLEY,Dakota,12/05 was NB - FS,N,N,Y, ,Y, , , ,0,0,44.71754687,-93.19704913
696,53848,160th St W - DdHd,Cedar Ave,Near side W,APPLE VALLEY,Dakota,8/14 new MVTA #01697,N,N,Y,DeadHead Only - No Stop,N, , , ,0,0,44.71757306,-93.21725729
697,53820,160th St W - DdHd,Cedar Ave,Far side E,LAKEVILLE,Dakota,8/14 new MVTA #01693,N,N,Y,DeadHead Only - No Stop,N, , , ,0,0,44.71730994,-93.21710202
698,53218,16th St,1st Ave / 3rd Ave S,Mid block E,MINNEAPOLIS,Hennepin,6/18 Temp Node Only 123A (was 12St 2/3AV),Y,N,Y,12/12 was 154A % Layover - to #44370,N, , , ,0,0,44.96705912,-93.27422607
